names,labels,name,label
00000000.JPG,0,train/Bishop/00000000.JPG,0
00000001.jpg,0,train/Bishop/00000001.jpg,0
00000002.JPG,0,train/Bishop/00000002.JPG,0
00000003.png,0,train/Bishop/00000003.png,0
00000004.jpg,0,train/Bishop/00000004.jpg,0
00000006.jpg,0,train/Bishop/00000006.jpg,0
00000007.jpg,0,train/Bishop/00000007.jpg,0
00000008.jpg,0,train/Bishop/00000008.jpg,0
00000009.png,0,train/Bishop/00000009.png,0
00000010.jpg,0,train/Bishop/00000010.jpg,0
00000011.jpg,0,train/Bishop/00000011.jpg,0
00000012.jpg,0,train/Bishop/00000012.jpg,0
00000013.jpg,0,train/Bishop/00000013.jpg,0
00000015.png,0,train/Bishop/00000015.png,0
00000016.jpg,0,train/Bishop/00000016.jpg,0
00000017.jpg,0,train/Bishop/00000017.jpg,0
00000018.jpg,0,train/Bishop/00000018.jpg,0
00000019.jpg,0,train/Bishop/00000019.jpg,0
00000020.jpg,0,train/Bishop/00000020.jpg,0
00000024.jpg,0,train/Bishop/00000024.jpg,0
00000025.jpg,0,train/Bishop/00000025.jpg,0
00000026.jpg,0,train/Bishop/00000026.jpg,0
00000028.jpg,0,train/Bishop/00000028.jpg,0
00000031.jpg,0,train/Bishop/00000031.jpg,0
00000034.jpg,0,train/Bishop/00000034.jpg,0
00000037.jpg,0,train/Bishop/00000037.jpg,0
00000039.jpg,0,train/Bishop/00000039.jpg,0
00000042.jpg,0,train/Bishop/00000042.jpg,0
00000044.png,0,train/Bishop/00000044.png,0
00000049.jpg,0,train/Bishop/00000049.jpg,0
00000054.jpeg,0,train/Bishop/00000054.jpeg,0
00000061.jpg,0,train/Bishop/00000061.jpg,0
00000062.jpg,0,train/Bishop/00000062.jpg,0
00000066.jpg,0,train/Bishop/00000066.jpg,0
00000068.png,0,train/Bishop/00000068.png,0
00000070.jpg,0,train/Bishop/00000070.jpg,0
00000071.png,0,train/Bishop/00000071.png,0
00000074.jpg,0,train/Bishop/00000074.jpg,0
00000075.jpg,0,train/Bishop/00000075.jpg,0
00000078.jpg,0,train/Bishop/00000078.jpg,0
00000079.jpg,0,train/Bishop/00000079.jpg,0
00000081.jpg,0,train/Bishop/00000081.jpg,0
00000082.jpg,0,train/Bishop/00000082.jpg,0
00000086.png,0,train/Bishop/00000086.png,0
00000088.jpg,0,train/Bishop/00000088.jpg,0
00000089.jpg,0,train/Bishop/00000089.jpg,0
00000092.jpg,0,train/Bishop/00000092.jpg,0
00000094.jpg,0,train/Bishop/00000094.jpg,0
00000095.gif,0,train/Bishop/00000095.gif,0
00000102.jpg,0,train/Bishop/00000102.jpg,0
00000103.jpg,0,train/Bishop/00000103.jpg,0
00000109.jpg,0,train/Bishop/00000109.jpg,0
00000110.jpg,0,train/Bishop/00000110.jpg,0
00000112.jpg,0,train/Bishop/00000112.jpg,0
00000113.png,0,train/Bishop/00000113.png,0
00000114.jpg,0,train/Bishop/00000114.jpg,0
00000115.jpg,0,train/Bishop/00000115.jpg,0
00000117.jpg,0,train/Bishop/00000117.jpg,0
00000120.jpg,0,train/Bishop/00000120.jpg,0
00000121.jpg,0,train/Bishop/00000121.jpg,0
00000126.jpg,0,train/Bishop/00000126.jpg,0
00000127.jpg,0,train/Bishop/00000127.jpg,0
00000129.jpg,0,train/Bishop/00000129.jpg,0
00000130.png,0,train/Bishop/00000130.png,0
00000136.png,0,train/Bishop/00000136.png,0
00000138.jpg,0,train/Bishop/00000138.jpg,0
00000145.jpg,0,train/Bishop/00000145.jpg,0
00000149.jpg,0,train/Bishop/00000149.jpg,0
00000150.png,0,train/Bishop/00000150.png,0
00000151.png,0,train/Bishop/00000151.png,0
00000158.jpg,0,train/Bishop/00000158.jpg,0
00000000.jpg,1,train/King/00000000.jpg,1
00000003.jpg,1,train/King/00000003.jpg,1
00000004.jpg,1,train/King/00000004.jpg,1
00000005.jpg,1,train/King/00000005.jpg,1
00000006.JPG,1,train/King/00000006.JPG,1
00000007.jpg,1,train/King/00000007.jpg,1
